year,price,engine_size,mileage,Diesel,Hybrid,otherFuel,Petrol,Automatic,Manual,otherTransmission,Semi-Auto
2015,11998,20.0,72.4,1,0,0,0,0,1,0,0
2013,11998,160.0,44.8,0,0,0,1,0,0,0,1
2020,39998,2.0,217.3,0,1,0,0,0,0,0,1
2019,23498,150.0,61.4,1,0,0,0,0,0,0,1
2019,57998,145.0,28.5,0,0,0,1,0,0,0,1
2015,16315,30.0,64.2,1,0,0,0,0,0,0,1
2016,13991,30.0,64.2,1,0,0,0,0,0,0,1
2016,16998,30.0,64.2,1,0,0,0,0,0,0,1
2017,16498,2.1,29283.0,1,0,0,0,0,0,0,1
2016,16998,20.0,64.2,1,0,0,0,0,0,0,1
2016,13690,20.0,68.9,1,0,0,0,0,1,0,0
2014,14490,20.0,64.2,1,0,0,0,0,0,0,1
2017,17998,145.0,50.4,0,0,0,1,0,0,0,1
2019,29998,145.0,61.4,1,0,0,0,0,0,0,1
2017,18998,0.0,78.5,0,1,0,0,0,0,0,1
2018,18998,145.0,50.4,0,0,0,1,0,0,0,1
2019,28998,145.0,61.4,1,0,0,0,0,0,0,1
2019,24998,145.0,47.1,0,0,0,1,0,0,0,1
2018,27998,145.0,57.7,1,0,0,0,0,0,0,1
2015,16798,30.0,64.2,1,0,0,0,0,0,0,1
2017,19998,125.0,58.9,1,0,0,0,0,0,0,1
2020,29950,145.0,48.7,1,0,0,0,0,0,0,1
2017,20790,0.0,74.3,0,1,0,0,0,0,0,1
2013,9490,145.0,47.9,0,0,0,1,0,0,0,1
2017,15690,20.0,65.7,1,0,0,0,0,0,0,1
2017,14990,20.0,65.7,1,0,0,0,0,1,0,0
2015,17290,30.0,64.2,1,0,0,0,0,0,0,1
2018,19490,145.0,61.4,1,0,0,0,0,0,0,1
2019,28990,145.0,57.7,1,0,0,0,0,0,0,1
2017,24990,145.0,58.9,1,0,0,0,1,0,0,0
2014,28990,570.0,23.5,0,0,0,1,0,0,0,1
2016,16298,30.0,64.2,1,0,0,0,0,0,0,1
2016,14698,20.0,70.6,1,0,0,0,0,1,0,0
2016,13998,125.0,53.3,0,0,0,1,0,1,0,0
2015,14698,20.0,64.2,1,0,0,0,0,0,0,1
2014,10498,145.0,53.3,1,0,0,0,0,0,0,1
2015,11998,150.0,53.3,1,0,0,0,0,0,0,1
2016,15698,125.0,50.4,0,0,0,1,1,0,0,0
2015,16998,125.0,60.1,1,0,0,0,0,0,0,1
2016,17998,0.0,134.5,0,1,0,0,0,0,0,1
2017,20998,20.0,67.3,1,0,0,0,0,0,0,1
2016,13691,30.0,65.7,1,0,0,0,0,0,0,1
2014,13491,20.0,68.9,1,0,0,0,0,1,0,0
2017,21998,150.0,48.7,0,0,0,1,0,0,0,1
2015,14500,20.0,64.2,1,0,0,0,0,0,0,1
2017,15990,20.0,64.2,1,0,0,0,0,0,0,1
2016,20490,125.0,51.4,0,0,0,1,0,0,0,1
2018,20890,145.0,44.1,0,0,0,1,0,0,0,1
2014,14490,30.0,64.2,1,0,0,0,0,0,0,1
2018,21990,145.0,44.1,0,0,0,1,0,0,0,1
2015,14750,20.0,64.2,1,0,0,0,0,0,0,1
2019,44990,145.0,29.1,0,0,0,1,1,0,0,0
2019,24690,145.0,47.1,0,0,0,1,0,0,0,1
2017,18270,30.0,64.2,1,0,0,0,0,0,0,1
2018,26625,145.0,57.7,1,0,0,0,1,0,0,0
2015,13361,125.0,53.3,0,0,0,1,0,0,0,1
2017,17490,145.0,64.2,1,0,0,0,0,0,0,1
2019,26427,145.0,55.4,1,0,0,0,1,0,0,0
2019,29290,145.0,57.7,1,0,0,0,0,0,0,1
2017,23047,145.0,65.7,1,0,0,0,0,0,0,1
2015,13621,30.0,65.7,1,0,0,0,0,0,0,1
2017,18200,30.0,61.4,1,0,0,0,0,0,0,1
2017,16991,145.0,64.2,1,0,0,0,0,0,0,1
2018,23498,145.0,40.4,0,0,0,1,0,0,0,1
2015,14698,20.0,65.7,1,0,0,0,0,0,0,1
2013,9798,150.0,54.3,1,0,0,0,0,0,0,1
2016,17998,30.0,64.2,1,0,0,0,1,0,0,0
2017,18998,145.0,61.4,1,0,0,0,1,0,0,0
2016,20700,20.0,67.3,1,0,0,0,0,0,0,1
2015,16990,20.0,64.2,1,0,0,0,0,0,0,1
2014,11791,145.0,53.3,1,0,0,0,0,0,0,1
2015,18191,30.0,64.2,1,0,0,0,0,0,0,1
2016,20991,125.0,58.9,1,0,0,0,0,0,0,1
2017,13321,150.0,65.7,1,0,0,0,0,0,0,1
2016,21998,20.0,67.3,1,0,0,0,0,0,0,1
2017,15998,0.0,134.5,0,1,0,0,0,0,0,1
2015,13498,20.0,70.6,1,0,0,0,0,1,0,0
2017,20871,145.0,65.7,1,0,0,0,0,0,0,1
2018,25891,145.0,44.1,0,0,0,1,0,0,0,1
2017,20591,30.0,64.2,1,0,0,0,0,0,0,1
2016,19991,20.0,67.3,1,0,0,0,0,0,0,1
2015,15990,30.0,64.2,1,0,0,0,0,0,0,1
2019,30055,145.0,54.3,1,0,0,0,1,0,0,0
2017,21650,145.0,47.1,0,0,0,1,1,0,0,0
2018,25990,145.0,44.1,0,0,0,1,0,0,0,1
2017,17690,145.0,61.4,1,0,0,0,0,0,0,1
2019,30950,145.0,55.4,1,0,0,0,1,0,0,0
2019,24950,145.0,47.1,0,0,0,1,1,0,0,0
2015,14998,20.0,64.2,1,0,0,0,0,0,0,1
2017,19798,0.0,134.5,0,1,0,0,0,0,0,1
2019,24498,150.0,47.1,0,0,0,1,0,0,0,1
2018,19991,150.0,60.1,1,0,0,0,0,0,0,1
2017,21991,145.0,67.3,1,0,0,0,0,0,0,1
2018,22591,145.0,67.3,1,0,0,0,0,0,0,1
2019,18790,145.0,64.2,1,0,0,0,0,0,0,1
2019,25950,145.0,47.1,0,0,0,1,1,0,0,0
2020,29950,145.0,64.2,1,0,0,0,0,0,0,1
2017,14990,145.0,65.7,1,0,0,0,0,0,0,1
2020,31950,145.0,51.4,1,0,0,0,1,0,0,0
2016,20990,30.0,65.7,1,0,0,0,0,0,0,1
2020,28990,145.0,46.3,0,0,0,1,1,0,0,0
2019,27000,145.0,64.2,1,0,0,0,0,0,0,1
2015,12590,150.0,53.3,1,0,0,0,0,0,0,1
2018,20885,145.0,61.4,1,0,0,0,0,0,0,1
2014,25885,570.0,23.5,0,0,0,1,0,0,0,1
2016,14965,20.0,65.7,1,0,0,0,0,0,0,1
2017,16595,20.0,65.7,1,0,0,0,1,0,0,0
2018,17940,145.0,64.2,1,0,0,0,0,0,0,1
2018,19940,145.0,61.4,1,0,0,0,0,0,0,1
2016,16498,30.0,65.7,1,0,0,0,0,0,0,1
2016,14500,30.0,65.7,1,0,0,0,0,0,0,1
2019,27791,145.0,56.5,1,0,0,0,0,0,0,1
2019,26499,145.0,56.5,1,0,0,0,0,0,0,1
2019,31990,145.0,54.3,1,0,0,0,0,0,0,1
2018,20999,145.0,46.3,0,0,0,1,0,0,0,1
2019,31999,145.0,48.7,1,0,0,0,0,0,0,1
2017,17495,145.0,51.4,0,0,0,1,0,0,0,1
2019,25495,145.0,42.2,0,0,0,1,0,0,0,1
2019,36995,145.0,54.3,1,0,0,0,1,0,0,0
2019,30999,145.0,57.7,1,0,0,0,0,0,0,1
2019,29999,145.0,57.7,1,0,0,0,0,0,0,1
2016,17880,30.0,64.2,1,0,0,0,1,0,0,0
2016,13660,20.0,70.6,1,0,0,0,0,1,0,0
2016,23920,30.0,65.7,1,0,0,0,1,0,0,0
2017,22960,20.0,67.3,1,0,0,0,0,0,0,1
2017,16590,30.0,64.2,1,0,0,0,0,0,0,1
2017,17990,30.0,64.2,1,0,0,0,0,0,0,1
2019,22270,145.0,44.1,0,0,0,1,1,0,0,0
2016,22680,125.0,61.4,1,0,0,0,0,0,0,1
2017,22440,20.0,67.3,1,0,0,0,0,0,0,1
2016,17820,20.0,68.9,1,0,0,0,0,0,0,1
2016,19290,30.0,64.2,1,0,0,0,0,0,0,1
2016,16390,20.0,64.2,1,0,0,0,0,0,0,1
2016,14450,125.0,53.3,0,0,0,1,0,0,0,1
2016,17250,30.0,64.2,1,0,0,0,1,0,0,0
2016,19690,20.0,67.3,1,0,0,0,0,0,0,1
2017,19250,125.0,60.1,1,0,0,0,0,0,0,1
2019,21980,145.0,45.6,0,0,0,1,1,0,0,0
2019,23990,145.0,45.6,0,0,0,1,1,0,0,0
2019,21980,145.0,45.6,0,0,0,1,0,0,0,1
2019,27990,145.0,61.4,1,0,0,0,1,0,0,0
2015,16998,0.0,74.3,0,1,0,0,0,0,0,1
2016,19698,20.0,67.3,1,0,0,0,0,0,0,1
2015,15498,20.0,68.9,1,0,0,0,0,1,0,0
2020,67999,145.0,28.0,0,0,0,1,0,0,0,1
2020,34999,145.0,46.3,0,0,0,1,0,0,0,1
2016,21299,150.0,49.6,0,0,0,1,0,0,0,1
2017,17999,0.0,134.5,0,1,0,0,0,0,0,1
2019,19999,150.0,46.3,0,0,0,1,0,0,0,1
2017,21999,150.0,47.9,0,0,0,1,0,0,0,1
2016,17699,30.0,61.4,1,0,0,0,0,0,0,1
2016,14580,20.0,65.7,1,0,0,0,0,0,0,1
