,year,price,engine_size,mileage,Diesel,Hybrid,otherFuel,Petrol,Automatic,Manual,otherTransmission,Semi-Auto
194,2017,17998,145.0,50.4,0,0,0,1,0,0,0,1
195,2019,29998,145.0,61.4,1,0,0,0,0,0,0,1
196,2017,18998,0.0,78.5,0,1,0,0,0,0,0,1
197,2018,18998,145.0,50.4,0,0,0,1,0,0,0,1
198,2019,28998,145.0,61.4,1,0,0,0,0,0,0,1
199,2019,24998,145.0,47.1,0,0,0,1,0,0,0,1
200,2018,27998,145.0,57.7,1,0,0,0,0,0,0,1
201,2015,16798,30.0,64.2,1,0,0,0,0,0,0,1
202,2017,19998,125.0,58.9,1,0,0,0,0,0,0,1
203,2020,29950,145.0,48.7,1,0,0,0,0,0,0,1
204,2017,20790,0.0,74.3,0,1,0,0,0,0,0,1
205,2013,9490,145.0,47.9,0,0,0,1,0,0,0,1
206,2017,15690,20.0,65.7,1,0,0,0,0,0,0,1
207,2017,14990,20.0,65.7,1,0,0,0,0,1,0,0
208,2015,17290,30.0,64.2,1,0,0,0,0,0,0,1
209,2018,19490,145.0,61.4,1,0,0,0,0,0,0,1
210,2019,28990,145.0,57.7,1,0,0,0,0,0,0,1
211,2017,24990,145.0,58.9,1,0,0,0,1,0,0,0
212,2014,28990,570.0,23.5,0,0,0,1,0,0,0,1
213,2016,16298,30.0,64.2,1,0,0,0,0,0,0,1
214,2016,14698,20.0,70.6,1,0,0,0,0,1,0,0
215,2016,13998,125.0,53.3,0,0,0,1,0,1,0,0
216,2015,14698,20.0,64.2,1,0,0,0,0,0,0,1
217,2014,10498,145.0,53.3,1,0,0,0,0,0,0,1
218,2015,11998,150.0,53.3,1,0,0,0,0,0,0,1
219,2016,15698,125.0,50.4,0,0,0,1,1,0,0,0
220,2015,16998,125.0,60.1,1,0,0,0,0,0,0,1
221,2016,17998,0.0,134.5,0,1,0,0,0,0,0,1
222,2017,20998,20.0,67.3,1,0,0,0,0,0,0,1
223,2016,13691,30.0,65.7,1,0,0,0,0,0,0,1
224,2014,13491,20.0,68.9,1,0,0,0,0,1,0,0
225,2017,21998,150.0,48.7,0,0,0,1,0,0,0,1
226,2015,14500,20.0,64.2,1,0,0,0,0,0,0,1
227,2017,15990,20.0,64.2,1,0,0,0,0,0,0,1
228,2016,20490,125.0,51.4,0,0,0,1,0,0,0,1
229,2018,20890,145.0,44.1,0,0,0,1,0,0,0,1
230,2014,14490,30.0,64.2,1,0,0,0,0,0,0,1
231,2018,21990,145.0,44.1,0,0,0,1,0,0,0,1
232,2015,14750,20.0,64.2,1,0,0,0,0,0,0,1
233,2019,44990,145.0,29.1,0,0,0,1,1,0,0,0
234,2019,24690,145.0,47.1,0,0,0,1,0,0,0,1
235,2017,18270,30.0,64.2,1,0,0,0,0,0,0,1
236,2018,26625,145.0,57.7,1,0,0,0,1,0,0,0
237,2015,13361,125.0,53.3,0,0,0,1,0,0,0,1
238,2017,17490,145.0,64.2,1,0,0,0,0,0,0,1
239,2019,26427,145.0,55.4,1,0,0,0,1,0,0,0
240,2019,29290,145.0,57.7,1,0,0,0,0,0,0,1
241,2017,23047,145.0,65.7,1,0,0,0,0,0,0,1
242,2015,13621,30.0,65.7,1,0,0,0,0,0,0,1
243,2017,18200,30.0,61.4,1,0,0,0,0,0,0,1
244,2017,16991,145.0,64.2,1,0,0,0,0,0,0,1
245,2018,23498,145.0,40.4,0,0,0,1,0,0,0,1
246,2015,14698,20.0,65.7,1,0,0,0,0,0,0,1
247,2013,9798,150.0,54.3,1,0,0,0,0,0,0,1
248,2016,17998,30.0,64.2,1,0,0,0,1,0,0,0
249,2017,18998,145.0,61.4,1,0,0,0,1,0,0,0
250,2016,20700,20.0,67.3,1,0,0,0,0,0,0,1
251,2015,16990,20.0,64.2,1,0,0,0,0,0,0,1
252,2014,11791,145.0,53.3,1,0,0,0,0,0,0,1
253,2015,18191,30.0,64.2,1,0,0,0,0,0,0,1
254,2016,20991,125.0,58.9,1,0,0,0,0,0,0,1
255,2017,13321,150.0,65.7,1,0,0,0,0,0,0,1
256,2016,21998,20.0,67.3,1,0,0,0,0,0,0,1
257,2017,15998,0.0,134.5,0,1,0,0,0,0,0,1
258,2015,13498,20.0,70.6,1,0,0,0,0,1,0,0
259,2017,20871,145.0,65.7,1,0,0,0,0,0,0,1
260,2018,25891,145.0,44.1,0,0,0,1,0,0,0,1
261,2017,20591,30.0,64.2,1,0,0,0,0,0,0,1
262,2016,19991,20.0,67.3,1,0,0,0,0,0,0,1
263,2015,15990,30.0,64.2,1,0,0,0,0,0,0,1
264,2019,30055,145.0,54.3,1,0,0,0,1,0,0,0
265,2017,21650,145.0,47.1,0,0,0,1,1,0,0,0
266,2018,25990,145.0,44.1,0,0,0,1,0,0,0,1
267,2017,17690,145.0,61.4,1,0,0,0,0,0,0,1
268,2019,30950,145.0,55.4,1,0,0,0,1,0,0,0
269,2019,24950,145.0,47.1,0,0,0,1,1,0,0,0
270,2015,14998,20.0,64.2,1,0,0,0,0,0,0,1
271,2017,19798,0.0,134.5,0,1,0,0,0,0,0,1
272,2019,24498,150.0,47.1,0,0,0,1,0,0,0,1
273,2018,19991,150.0,60.1,1,0,0,0,0,0,0,1
274,2017,21991,145.0,67.3,1,0,0,0,0,0,0,1
275,2018,22591,145.0,67.3,1,0,0,0,0,0,0,1
276,2019,18790,145.0,64.2,1,0,0,0,0,0,0,1
277,2019,25950,145.0,47.1,0,0,0,1,1,0,0,0
278,2020,29950,145.0,64.2,1,0,0,0,0,0,0,1
279,2017,14990,145.0,65.7,1,0,0,0,0,0,0,1
280,2020,31950,145.0,51.4,1,0,0,0,1,0,0,0
281,2016,20990,30.0,65.7,1,0,0,0,0,0,0,1
282,2020,28990,145.0,46.3,0,0,0,1,1,0,0,0
283,2019,27000,145.0,64.2,1,0,0,0,0,0,0,1
284,2015,12590,150.0,53.3,1,0,0,0,0,0,0,1
285,2018,20885,145.0,61.4,1,0,0,0,0,0,0,1
286,2014,25885,570.0,23.5,0,0,0,1,0,0,0,1
287,2016,14965,20.0,65.7,1,0,0,0,0,0,0,1
288,2017,16595,20.0,65.7,1,0,0,0,1,0,0,0
289,2018,17940,145.0,64.2,1,0,0,0,0,0,0,1
290,2018,19940,145.0,61.4,1,0,0,0,0,0,0,1
291,2016,16498,30.0,65.7,1,0,0,0,0,0,0,1
292,2016,14500,30.0,65.7,1,0,0,0,0,0,0,1
293,2019,27791,145.0,56.5,1,0,0,0,0,0,0,1
294,2019,26499,145.0,56.5,1,0,0,0,0,0,0,1
295,2019,31990,145.0,54.3,1,0,0,0,0,0,0,1
296,2018,20999,145.0,46.3,0,0,0,1,0,0,0,1
297,2019,31999,145.0,48.7,1,0,0,0,0,0,0,1
298,2017,17495,145.0,51.4,0,0,0,1,0,0,0,1
299,2019,25495,145.0,42.2,0,0,0,1,0,0,0,1
300,2019,36995,145.0,54.3,1,0,0,0,1,0,0,0
301,2019,30999,145.0,57.7,1,0,0,0,0,0,0,1
302,2019,29999,145.0,57.7,1,0,0,0,0,0,0,1
303,2016,17880,30.0,64.2,1,0,0,0,1,0,0,0
304,2016,13660,20.0,70.6,1,0,0,0,0,1,0,0
305,2016,23920,30.0,65.7,1,0,0,0,1,0,0,0
306,2017,22960,20.0,67.3,1,0,0,0,0,0,0,1
307,2017,16590,30.0,64.2,1,0,0,0,0,0,0,1
308,2017,17990,30.0,64.2,1,0,0,0,0,0,0,1
309,2019,22270,145.0,44.1,0,0,0,1,1,0,0,0
310,2016,22680,125.0,61.4,1,0,0,0,0,0,0,1
311,2017,22440,20.0,67.3,1,0,0,0,0,0,0,1
312,2016,17820,20.0,68.9,1,0,0,0,0,0,0,1
313,2016,19290,30.0,64.2,1,0,0,0,0,0,0,1
314,2016,16390,20.0,64.2,1,0,0,0,0,0,0,1
315,2016,14450,125.0,53.3,0,0,0,1,0,0,0,1
316,2016,17250,30.0,64.2,1,0,0,0,1,0,0,0
317,2016,19690,20.0,67.3,1,0,0,0,0,0,0,1
318,2017,19250,125.0,60.1,1,0,0,0,0,0,0,1
319,2019,21980,145.0,45.6,0,0,0,1,1,0,0,0
320,2019,23990,145.0,45.6,0,0,0,1,1,0,0,0
321,2019,21980,145.0,45.6,0,0,0,1,0,0,0,1
322,2019,27990,145.0,61.4,1,0,0,0,1,0,0,0
323,2015,16998,0.0,74.3,0,1,0,0,0,0,0,1
324,2016,19698,20.0,67.3,1,0,0,0,0,0,0,1
325,2015,15498,20.0,68.9,1,0,0,0,0,1,0,0
326,2020,67999,145.0,28.0,0,0,0,1,0,0,0,1
327,2020,34999,145.0,46.3,0,0,0,1,0,0,0,1
328,2016,21299,150.0,49.6,0,0,0,1,0,0,0,1
329,2017,17999,0.0,134.5,0,1,0,0,0,0,0,1
330,2019,19999,150.0,46.3,0,0,0,1,0,0,0,1
331,2017,21999,150.0,47.9,0,0,0,1,0,0,0,1
332,2016,17699,30.0,61.4,1,0,0,0,0,0,0,1
333,2016,14580,20.0,65.7,1,0,0,0,0,0,0,1
334,2017,23990,145.0,42.2,0,0,0,1,0,0,0,1
335,2019,28660,145.0,57.7,1,0,0,0,1,0,0,0
336,2017,19490,125.0,60.1,1,0,0,0,0,0,0,1
337,2017,21770,20.0,67.3,1,0,0,0,0,0,0,1
338,2019,25990,145.0,56.5,1,0,0,0,0,0,0,1
339,2019,28660,145.0,54.3,1,0,0,0,1,0,0,0
340,2017,22590,30.0,65.7,1,0,0,0,0,0,0,1
341,2017,22770,145.0,65.7,1,0,0,0,1,0,0,0
342,2015,16480,30.0,64.2,1,0,0,0,1,0,0,0
343,2018,27698,145.0,54.3,1,0,0,0,0,0,0,1
344,2017,16499,150.0,50.4,0,0,0,1,0,0,0,1
345,2019,19895,145.0,46.3,0,0,0,1,0,0,0,1
346,2019,27595,145.0,56.5,1,0,0,0,0,0,0,1
347,2019,25795,145.0,58.9,1,0,0,0,0,0,0,1
348,2019,24499,145.0,44.1,0,0,0,1,0,0,0,1
349,2019,30495,145.0,44.1,0,0,0,1,0,0,0,1
350,2019,29999,145.0,55.4,1,0,0,0,0,0,0,1
351,2018,27495,145.0,57.7,1,0,0,0,0,0,0,1
352,2019,21795,145.0,46.3,0,0,0,1,0,1,0,0
353,2013,9881,160.0,46.3,0,0,0,1,1,0,0,0
354,2015,13498,125.0,53.3,0,0,0,1,0,1,0,0
355,2019,24450,145.0,64.2,1,0,0,0,0,0,0,1
356,2015,17450,30.0,64.2,1,0,0,0,0,0,0,1
357,2016,14450,20.0,65.7,1,0,0,0,0,0,0,1
358,2017,24990,145.0,61.4,1,0,0,0,0,0,0,1
359,2015,16440,20.0,64.2,1,0,0,0,0,0,0,1
360,2014,9891,125.0,57.7,1,0,0,0,0,0,0,1
